,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
0,02/1912,0,0,1,77,0,0,2,12,9,16,0,1,0,0,0,0,484,0,36,44,1,0,0,1,10,4,0,0,0,31,0,0,2,214,0,0,2,0,2,13,0,0,1,21,0,0,37,10,23,0,0,0,0,2,0,26,39,4,0,0,3,5,0,0,6,1,3,3,0,3,3,18,0,16,0,5,5,46,0,0,1,0,0,0,0,0,0,2,5,4,0,0,0,0,3,16,0,0,0,0,0,0,0,0,19
1,03/1912,2,0,2,81,1,0,4,15,17,18,0,0,0,3,0,0,859,1,80,39,0,0,0,0,15,5,0,0,2,48,0,0,0,280,8,3,0,3,1,13,0,0,3,33,0,3,28,10,24,0,0,0,0,1,0,21,33,4,4,0,10,6,0,0,13,1,3,0,1,2,5,18,0,0,0,1,5,30,2,0,0,0,0,0,0,1,0,9,16,2,0,0,0,0,1,25,0,0,1,0,0,0,0,1,26
2,04/1912,0,0,13,43,0,0,2,21,4,15,3,0,0,3,0,1,717,4,51,19,1,0,0,3,4,1,0,0,0,17,0,0,7,305,3,0,3,4,3,19,0,0,1,72,0,5,47,8,25,0,0,2,0,1,0,30,36,5,0,0,5,11,0,0,9,2,2,1,0,3,2,12,0,1,0,1,10,25,1,0,0,0,0,0,0,0,0,16,16,2,0,0,0,0,5,33,0,0,0,0,0,0,0,0,26
3,05/1912,1,0,8,108,0,1,3,27,8,25,0,3,0,8,2,1,901,3,30,49,0,0,0,0,42,22,0,0,0,23,1,0,0,515,6,0,0,0,7,9,0,0,4,29,0,0,50,4,14,0,0,0,0,0,1,66,38,2,2,0,10,13,0,0,24,0,0,0,5,0,16,11,0,6,0,1,21,53,1,0,4,1,0,0,0,1,0,13,16,1,0,0,0,0,3,30,0,0,0,0,0,0,0,0,27
4,06/1912,0,0,4,60,0,4,4,18,13,47,1,0,0,5,2,0,1155,5,42,31,2,0,0,0,50,8,0,0,0,11,2,1,0,549,5,0,2,3,5,20,0,0,0,22,0,3,28,4,24,0,0,0,1,1,0,23,42,5,6,0,2,5,0,0,23,2,0,7,1,4,3,12,0,3,0,0,14,45,0,0,0,2,0,0,0,1,0,14,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26
5,07/1912,1,0,1,171,0,5,4,48,24,24,0,0,0,1,1,0,1111,6,40,21,6,0,0,0,11,18,0,0,0,28,0,0,6,614,12,0,5,4,12,12,0,0,1,27,0,8,48,1,51,0,0,0,0,3,0,43,37,3,0,0,6,14,0,0,63,0,1,1,23,1,4,34,0,9,0,2,18,69,1,0,1,3,0,0,0,3,0,35,28,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,27
6,08/1912,0,0,4,167,0,2,7,62,25,24,0,1,0,7,14,0,1115,7,66,40,5,0,0,0,1,3,0,0,0,35,0,0,2,439,8,0,7,0,4,13,0,0,4,28,0,4,52,1,48,0,0,0,1,0,0,64,37,0,29,0,6,17,0,0,134,0,2,0,13,8,2,11,0,9,0,0,25,79,0,0,1,3,1,0,0,1,0,5,37,5,0,0,0,0,1,91,0,0,1,0,0,0,0,0,27
7,09/1912,0,0,5,143,0,2,10,42,26,47,0,1,0,7,31,0,854,12,78,31,9,0,0,2,5,4,0,0,2,34,1,0,0,338,29,2,2,3,9,11,0,0,3,56,10,0,77,1,26,0,0,0,1,3,6,65,35,0,22,0,12,19,0,0,48,0,2,1,4,2,7,14,0,3,0,3,19,92,3,0,3,23,0,0,0,0,0,5,67,0,0,0,0,0,2,97,0,4,0,0,0,0,0,0,25
8,10/1912,0,0,1,111,0,1,3,18,87,40,0,0,0,3,178,0,750,0,25,13,0,0,0,0,4,2,0,0,0,29,1,0,0,355,164,0,0,0,9,8,0,0,2,42,0,2,92,0,14,0,1,1,2,1,0,47,45,1,8,0,4,3,0,0,7,2,0,1,7,1,9,12,0,6,0,38,11,127,0,0,0,140,0,0,0,0,0,9,33,9,0,0,0,0,1,392,0,0,0,0,0,0,0,0,27
9,11/1912,0,0,6,128,0,0,3,11,175,37,0,0,1,3,110,0,689,5,20,24,4,0,0,1,9,2,0,0,0,37,1,0,0,301,39,0,0,3,15,25,0,0,1,31,1,2,65,9,8,0,0,0,1,0,0,46,9,0,1,0,3,3,0,0,18,3,0,1,0,2,5,7,0,1,0,16,16,137,0,0,2,177,0,0,0,0,0,8,19,5,0,0,0,0,1,203,0,0,0,0,0,0,0,0,26
10,12/1912,0,0,11,122,0,1,11,28,145,26,0,0,1,3,84,0,986,2,34,15,10,0,0,1,10,5,0,0,0,36,0,0,1,267,125,0,2,3,9,28,0,0,3,22,0,1,69,3,25,0,0,0,0,1,0,48,26,8,3,0,9,9,0,0,44,0,6,1,7,1,6,14,0,2,0,26,32,100,0,0,3,145,0,0,0,3,0,10,23,1,0,0,0,0,1,180,0,0,1,0,0,0,0,0,26
11,01/1913,0,0,7,72,0,0,7,33,55,37,0,6,0,6,70,0,907,2,47,15,1,0,0,0,12,2,0,0,0,64,0,0,0,264,36,1,2,0,6,7,0,0,0,21,1,6,57,4,13,0,0,0,0,0,0,28,35,15,5,0,10,13,0,0,54,3,0,0,11,4,5,11,0,3,0,63,32,72,7,0,0,27,0,0,0,3,0,7,31,1,0,0,0,0,0,279,0,1,4,0,0,0,0,0,26
12,02/1913,0,0,4,125,0,1,2,28,28,27,0,1,0,1,55,0,737,1,51,34,1,0,0,0,26,7,0,0,1,26,0,0,0,256,15,3,0,2,2,7,0,0,4,11,0,1,39,4,31,0,0,0,0,0,0,31,149,3,2,0,2,32,0,0,20,0,0,0,3,2,2,3,0,2,0,31,11,65,8,0,0,12,0,0,0,1,0,6,31,0,0,0,0,0,1,81,2,2,7,0,0,0,0,0,24
